N, density, PATTime, A*Time, success, pathLength, PAT
6,0.3,1.041,0,6,1
6,0.3,0.465,1,10,1
6,0.3,0.105,1,6,0
6,0.3,0.171,1,7,0
6,0.3,0.074,1,9,0
6,0.3,0.232,1,10,0
6,0.3,1.735,0,6,0
6,0.35,1.321,1,10,1
6,0.35,0.448,1,9,1
6,0.35,0.462,1,10,1
6,0.35,0.663,1,10,1
6,0.35,0.888,1,9,1
6,0.35,1.55,0,7,0
6,0.35,1.584,0,6,0
6,0.35,0.106,1,7,0
6,0.35,0.263,1,8,0
6,0.35,2.264,0,13,0
6,0.4,2.22,1,8,1
6,0.4,0.521,1,9,1
6,0.4,0.466,0,0,1
6,0.4,1.361,0,8,1
6,0.4,0.963,0,4,1
6,0.4,0.206,1,13,0
6,0.4,1.718,0,5,0
6,0.4,0.255,1,9,0
6,0.4,0.073,1,7,0
6,0.4,0.538,1,16,0
